RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,EXPSOU,NOBJNM,OBJNAM,QUASOU,SOUACC,TECSOU,VERDAT,STATUS,INFORM,NINFOM,NTXTDS,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND,DEPTH,_enc_cell,depth_m,_sound_id,CATZOC,QUAL_POSACC,QUAL_SOUACC,QUAL_SUREND,QUAL_SURSTA,QUAL_TECSOU,QUAL_VERDAT,QUAL_INFORM,QUAL_SORDAT,QUAL_SORIND,QUAL_ENC_CELL,zoc_label,quality_model_weight,lon,lat
8841,1,2,129,1,550,-2004046809,19802,0226888CAC274D5A,,,,,,,,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",4.1,US4TB3P0,4.1,33,3,,,2004,1969,,,"A) U.S. Navy LIDAR Survey, 2004, Archive No. 04HFM01, Scale 1:5,000-1:10,000; B) U.S. Navy Single Beam Survey, 1969, Archive No. 685036, Scale 1:10,000-1:20,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,B,0.72,134.4915619,7.2736416
8841,1,2,129,1,550,-2004046809,19802,0226888CAC274D5A,,,,,,,,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",23.7,US4TB3P0,23.7,34,3,,,2004,,,,"U.S. Navy LIDAR Survey, Archive No. 04HFM01, Scale 1:5,000-1:10,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,B,0.72,134.4915619,7.3724113
8841,1,2,129,1,550,-2004046809,19802,0226888CAC274D5A,,,,,,,,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",9.3,US4TB3P0,9.3,35,3,,,2004,,,,"U.S. Navy LIDAR Survey, Archive No. 04HFM01, Scale 1:5,000-1:10,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,B,0.72,134.4915924,7.3752999
8841,1,2,129,1,550,-2004046809,19802,0226888CAC274D5A,,,,,,,,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",24.8,US4TB3P0,24.8,36,3,,,2004,1969,,,"A) U.S. Navy LIDAR Survey, 2004, Archive No. 04HFM01, Scale 1:5,000-1:10,000; B) U.S. Navy Single Beam Survey, 1969, Archive No. 685036, Scale 1:10,000-1:20,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,B,0.72,134.4916382,7.2706084
8841,1,2,129,1,550,-2004046809,19802,0226888CAC274D5A,,,,,,,,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",27.8,US4TB3P0,27.8,37,3,,,2004,1969,,,"A) U.S. Navy LIDAR Survey, 2004, Archive No. 04HFM01, Scale 1:5,000-1:10,000; B) U.S. Navy Single Beam Survey, 1969, Archive No. 685036, Scale 1:10,000-1:20,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,B,0.72,134.4916687,7.288775
8841,1,2,129,1,550,-2004046809,19802,0226888CAC274D5A,,,,,,,,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",21.0,US4TB3P0,21.0,38,3,,,2004,,,,"U.S. Navy LIDAR Survey, Archive No. 04HFM01, Scale 1:5,000-1:10,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,B,0.72,134.4917297,7.3330498
8841,1,2,129,1,550,-2004046809,19802,0226888CAC274D5A,,,,,,,,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",8.7,US4TB3P0,8.7,39,3,,,2004,1969,,,"A) U.S. Navy LIDAR Survey, 2004, Archive No. 04HFM01, Scale 1:5,000-1:10,000; B) U.S. Navy Single Beam Survey, 1969, Archive No. 685036, Scale 1:10,000-1:20,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,B,0.72,134.4918213,7.2725611
8841,1,2,129,1,550,-2004046809,19802,0226888CAC274D5A,,,,,,,,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",23.0,US4TB3P0,23.0,40,3,,,2004,,,,"U.S. Navy LIDAR Survey, Archive No. 04HFM01, Scale 1:5,000-1:10,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,B,0.72,134.4918518,7.3310251
8841,1,2,129,1,550,-2004046809,19802,0226888CAC274D5A,,,,,,,,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",26.2,US4TB3P0,26.2,41,3,,,2004,,,,"U.S. Navy LIDAR Survey, Archive No. 04HFM01, Scale 1:5,000-1:10,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,B,0.72,134.4918671,7.2905693
8841,1,2,129,1,550,-2004046809,19802,0226888CAC274D5A,,,,,,,,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",46.0,US4TB3P0,46.0,42,3,,,2004,1969,,,"A) U.S. Navy LIDAR Survey, 2004, Archive No. 04HFM01, Scale 1:5,000-1:10,000; B) U.S. Navy Single Beam Survey, 1969, Archive No. 685036, Scale 1:10,000-1:20,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,B,0.72,134.4918823,7.2852249
8841,1,2,129,1,550,-2004046809,19802,0226888CAC274D5A,,,,,,,,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",16.4,US4TB3P0,16.4,43,3,,,2004,1969,,,"A) U.S. Navy LIDAR Survey, 2004, Archive No. 04HFM01, Scale 1:5,000-1:10,000; B) U.S. Navy Single Beam Survey, 1969, Archive No. 685036, Scale 1:10,000-1:20,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,B,0.72,134.4919128,7.2795248
8841,1,2,129,1,550,-2004046809,19802,0226888CAC274D5A,,,,,,,,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",14.2,US4TB3P0,14.2,44,3,,,2004,,,,"U.S. Navy LIDAR Survey, Archive No. 04HFM01, Scale 1:5,000-1:10,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,B,0.72,134.4919586,7.4026084
8841,1,2,129,1,550,-2004046809,19802,0226888CAC274D5A,,,,,,,,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",28.1,US4TB3P0,28.1,45,3,,,2004,1969,,,"A) U.S. Navy LIDAR Survey, 2004, Archive No. 04HFM01, Scale 1:5,000-1:10,000; B) U.S. Navy Single Beam Survey, 1969, Archive No. 685036, Scale 1:10,000-1:20,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,B,0.72,134.492096,7.2774415
8841,1,2,129,1,550,-2004046809,19802,0226888CAC274D5A,,,,,,,,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",28.4,US4TB3P0,28.4,46,3,,,2004,1969,,,"A) U.S. Navy LIDAR Survey, 2004, Archive No. 04HFM01, Scale 1:5,000-1:10,000; B) U.S. Navy Single Beam Survey, 1969, Archive No. 685036, Scale 1:10,000-1:20,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,B,0.72,134.4922028,7.2760806
8841,1,2,129,1,550,-2004046809,19802,0226888CAC274D5A,,,,,,,,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",13.7,US4TB3P0,13.7,47,3,,,2004,,,,"U.S. Navy LIDAR Survey, Archive No. 04HFM01, Scale 1:5,000-1:10,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,B,0.72,134.492218,7.3299694
8841,1,2,129,1,550,-2004046809,19802,0226888CAC274D5A,,,,,,,,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",24.1,US4TB3P0,24.1,48,3,,,2004,,,,"U.S. Navy LIDAR Survey, Archive No. 04HFM01, Scale 1:5,000-1:10,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,B,0.72,134.4923554,7.2952194
