lon,lat,depth_m_chart_datum,enc_cell
134.516861,7.3025889,18.5,US4TB3P0
134.516861,7.3084779,11.7,US4TB3P0
134.5169373,7.2951584,21.9,US4TB3P0
134.516983,7.3433752,30.0,US4TB3P0
134.5170288,7.2930389,13.6,US4TB3P0
134.5170898,7.3376331,37.0,US4TB3P0
134.5171356,7.340703,24.3,US4TB3P0
134.5171967,7.3064084,14.7,US4TB3P0
134.5172119,7.3489609,13.7,US4TB3P0
134.5173798,7.3008418,51.0,US4TB3P0
134.5173798,7.3092637,7.9,US4TB3P0
134.5175171,7.272861,457.0,US4TB3P0
134.5175476,7.2912192,4.3,US4TB3P0
134.5175781,7.2964554,18.1,US4TB3P0
134.5177307,7.3394918,0.1,US4TB3P0
134.5177918,7.2944307,18.6,US4TB3P0
134.5178986,7.3032193,3.4,US4TB3P0
134.5179901,7.2800417,482.0,US4TB3P0
134.5179901,7.3496833,3.6,US4TB3P0
134.5180206,7.2976027,21.1,US4TB3P0
134.5180359,7.2900085,25.2,US4TB3P0
134.5180969,7.3422418,30.0,US4TB3P0
134.5181274,7.2907667,8.2,US4TB3P0
134.5182037,7.3459444,5.2,US4TB3P0
134.5182495,7.2994609,23.9,US4TB3P0
134.5184174,7.2863388,305.0,US4TB3P0
134.5184631,7.3060722,24.1,US4TB3P0
134.5184631,7.3102307,23.9,US4TB3P0
134.5186005,7.3358831,5.6,US4TB3P0
134.5186462,7.3453083,23.8,US4TB3P0
134.5186615,7.3402138,28.0,US4TB3P0
134.5187531,7.2878723,210.0,US4TB3P0
134.5187531,7.2961307,19.7,US4TB3P0
134.5187531,7.3367276,34.0,US4TB3P0
134.5188446,7.2737584,351.0,US4TB3P0
134.5188904,7.3014221,31.0,US4TB3P0
134.5192261,7.2936029,17.0,US4TB3P0
134.5192413,7.3074694,21.8,US4TB3P0
134.5193024,7.294703,28.4,US4TB3P0
134.5193329,7.3457418,11.6,US4TB3P0
134.519455,7.2840276,172.0,US4TB3P0
134.519455,7.3445859,11.8,US4TB3P0
134.5196686,7.3371835,2.9,US4TB3P0
134.5196991,7.3489447,7.6,US4TB3P0
134.5197144,7.2903752,3.7,US4TB3P0
134.5197754,7.2772417,440.0,US4TB3P0
134.5197907,7.3317137,15.7,US4TB3P0
134.5197907,7.3388748,39.0,US4TB3P0
134.5198822,7.33355,44.0,US4TB3P0
134.5198975,7.3417416,33.0,US4TB3P0
134.519928,7.3003779,27.4,US4TB3P0
134.5199432,7.304214,26.6,US4TB3P0
134.5200043,7.3467221,3.5,US4TB3P0
134.5200806,7.3356528,19.7,US4TB3P0
134.5201569,7.2734776,322.0,US4TB3P0
134.5201721,7.3424974,9.7,US4TB3P0
134.5201874,7.3025308,54.0,US4TB3P0
134.5202179,7.2704415,285.0,US4TB3P0
134.5202179,7.2894473,19.4,US4TB3P0
134.5202332,7.3294554,8.1,US4TB3P0
134.5202789,7.2887387,101.0,US4TB3P0
134.5203095,7.3198748,16.7,US4TB3P0
134.52034,7.3377137,34.0,US4TB3P0
134.5205078,7.3485527,6.7,US4TB3P0
134.5205231,7.3450527,4.6,US4TB3P0
134.5205994,7.289989,7.9,US4TB3P0
134.5206604,7.2748942,304.0,US4TB3P0
134.5207214,7.2719998,219.0,US4TB3P0
