RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,EXPSOU,NOBJNM,OBJNAM,QUASOU,SOUACC,TECSOU,VERDAT,STATUS,INFORM,NINFOM,NTXTDS,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND,DEPTH,_enc_cell,depth_m,_sound_id,CATZOC,QUAL_POSACC,QUAL_SOUACC,QUAL_SUREND,QUAL_SURSTA,QUAL_TECSOU,QUAL_VERDAT,QUAL_INFORM,QUAL_SORDAT,QUAL_SORIND,QUAL_ENC_CELL,zoc_label,quality_model_weight,ALLEN_class_name,semantic_zone,allen_mapped,DEPARE_DRVAL1,DEPARE_DRVAL2,DEPARE__enc_cell,DEPARE_VERDAT,inside_osm_reef_polygon,working_hypothesis_60_70,working_hypothesis_gt100,lon,lat
8843,1,2,129,1,550,-1126871900,19802,0226BCD54CA44D5A,,,,,,['4'],,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",38.0,US4TB3P0,38.0,1332,5,,,1938,1915,,,"Former Japan Chart 481 (Ed. 1940, Rev. 1944), from Japan surveys, Scale 1:25,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,D,0.22,,outside_allen_geomorphic_or_unclassified,False,30.0,50.0,US4TB3P0,,False,False,False,134.5571137,7.3194084
8843,1,2,129,1,550,-1126871900,19802,0226BCD54CA44D5A,,,,,,['4'],,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",38.0,US4TB3P0,38.0,1333,5,,,1938,1915,,,"Former Japan Chart 481 (Ed. 1940, Rev. 1944), from Japan surveys, Scale 1:25,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,D,0.22,,outside_allen_geomorphic_or_unclassified,False,30.0,50.0,US4TB3P0,,False,False,False,134.5574036,7.3155141
8843,1,2,129,1,550,-1126871900,19802,0226BCD54CA44D5A,,,,,,['4'],,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",34.0,US4TB3P0,34.0,1338,3,,,2004,,,,"U.S. Navy LIDAR Survey, Archive No. 04HFM01, Scale 1:5,000-1:10,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,B,0.72,,outside_allen_geomorphic_or_unclassified,False,30.0,50.0,US4TB3P0,,False,False,False,134.5595703,7.329011
8843,1,2,129,1,550,-1126871900,19802,0226BCD54CA44D5A,,,,,,['4'],,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",47.0,US4TB3P0,47.0,1341,3,,,2004,,,,"U.S. Navy LIDAR Survey, Archive No. 04HFM01, Scale 1:5,000-1:10,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,B,0.72,,outside_allen_geomorphic_or_unclassified,False,30.0,50.0,US4TB3P0,,False,False,False,134.561264,7.3223362
8843,1,2,129,1,550,-1126871900,19802,0226BCD54CA44D5A,,,,,,['4'],,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",45.0,US4TB3P0,45.0,1342,5,,,1938,1915,,,"Former Japan Chart 481 (Ed. 1940, Rev. 1944), from Japan surveys, Scale 1:25,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,D,0.22,,outside_allen_geomorphic_or_unclassified,False,30.0,50.0,US4TB3P0,,False,False,False,134.561676,7.3173361
8843,1,2,129,1,550,-1126871900,19802,0226BCD54CA44D5A,,,,,,['4'],,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",29.0,US4TB3P0,29.0,1346,5,,,1938,1915,,,"Former Japan Chart 481 (Ed. 1940, Rev. 1944), from Japan surveys, Scale 1:25,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,D,0.22,,outside_allen_geomorphic_or_unclassified,False,20.0,30.0,US4TB3P0,,False,False,False,134.5644074,7.3245778
8843,1,2,129,1,550,-1126871900,19802,0226BCD54CA44D5A,,,,,,['4'],,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",40.0,US4TB3P0,40.0,1348,5,,,1938,1915,,,"Former Japan Chart 481 (Ed. 1940, Rev. 1944), from Japan surveys, Scale 1:25,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,D,0.22,,outside_allen_geomorphic_or_unclassified,False,30.0,50.0,US4TB3P0,,False,False,False,134.5652924,7.3166609
8843,1,2,129,1,550,-1126871900,19802,0226BCD54CA44D5A,,,,,,['4'],,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",40.0,US4TB3P0,40.0,1349,5,,,1938,1915,,,"Former Japan Chart 481 (Ed. 1940, Rev. 1944), from Japan surveys, Scale 1:25,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,D,0.22,,outside_allen_geomorphic_or_unclassified,False,30.0,50.0,US4TB3P0,,False,False,False,134.565445,7.3208637
8843,1,2,129,1,550,-1126871900,19802,0226BCD54CA44D5A,,,,,,['4'],,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",32.0,US4TB3P0,32.0,1351,3,,,2004,,,,"U.S. Navy LIDAR Survey, Archive No. 04HFM01, Scale 1:5,000-1:10,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,B,0.72,,outside_allen_geomorphic_or_unclassified,False,30.0,50.0,US4TB3P0,,False,False,False,134.5672607,7.3280778
8843,1,2,129,1,550,-1126871900,19802,0226BCD54CA44D5A,,,,,,['4'],,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",31.0,US4TB3P0,31.0,1352,5,,,1938,1915,,,"Former Japan Chart 481 (Ed. 1940, Rev. 1944), from Japan surveys, Scale 1:25,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,D,0.22,,outside_allen_geomorphic_or_unclassified,False,30.0,50.0,US4TB3P0,,False,False,False,134.5688629,7.3245611
8843,1,2,129,1,550,-1126871900,19802,0226BCD54CA44D5A,,,,,,['4'],,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",27.0,US4TB3P0,27.0,1353,3,,,2004,,,,"U.S. Navy LIDAR Survey, Archive No. 04HFM01, Scale 1:5,000-1:10,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,B,0.72,,outside_allen_geomorphic_or_unclassified,False,20.0,30.0,US4TB3P0,,False,False,False,134.568985,7.3414917
