sample_index,time_utc,relative_tide_mm_window_mean_removed,quality,record_id,uhslc_id,reference_datum,absolute_datum_transform_applied
86,1997-11-30T06:00:00Z,-1711,4,6321,632,station zero,false
87,1997-11-30T07:00:00Z,-1981,4,6321,632,station zero,false
88,1997-11-30T08:00:00Z,-1711,4,6321,632,station zero,false
89,1997-11-30T09:00:00Z,-881,4,6321,632,station zero,false
90,1997-11-30T10:00:00Z,179,4,6321,632,station zero,false
91,1997-11-30T11:00:00Z,1089,4,6321,632,station zero,false
92,1997-11-30T12:00:00Z,1939,4,6321,632,station zero,false
93,1997-11-30T13:00:00Z,2169,4,6321,632,station zero,false
94,1997-11-30T14:00:00Z,1959,4,6321,632,station zero,false
95,1997-11-30T15:00:00Z,1079,4,6321,632,station zero,false
96,1997-11-30T16:00:00Z,-91,4,6321,632,station zero,false
97,1997-11-30T17:00:00Z,-1301,4,6321,632,station zero,false
98,1997-11-30T18:00:00Z,-2391,4,6321,632,station zero,false
99,1997-11-30T19:00:00Z,-2901,4,6321,632,station zero,false
100,1997-11-30T20:00:00Z,-2881,4,6321,632,station zero,false
101,1997-11-30T21:00:00Z,-1981,4,6321,632,station zero,false
102,1997-11-30T22:00:00Z,-831,4,6321,632,station zero,false
103,1997-11-30T23:00:00Z,409,4,6321,632,station zero,false
104,1997-12-01T00:00:00Z,1629,4,6321,632,station zero,false
105,1997-12-01T01:00:00Z,2399,4,6321,632,station zero,false
106,1997-12-01T02:00:00Z,2469,4,6321,632,station zero,false
107,1997-12-01T03:00:00Z,2019,4,6321,632,station zero,false
108,1997-12-01T04:00:00Z,1079,4,6321,632,station zero,false
109,1997-12-01T05:00:00Z,-141,4,6321,632,station zero,false
110,1997-12-01T06:00:00Z,-1181,4,6321,632,station zero,false
111,1997-12-01T07:00:00Z,-1891,4,6321,632,station zero,false
112,1997-12-01T08:00:00Z,-1922,4,6321,632,station zero,false
113,1997-12-01T09:00:00Z,-1391,4,6321,632,station zero,false
114,1997-12-01T10:00:00Z,-561,4,6321,632,station zero,false
115,1997-12-01T11:00:00Z,479,4,6321,632,station zero,false
116,1997-12-01T12:00:00Z,1559,4,6321,632,station zero,false
117,1997-12-01T13:00:00Z,2199,4,6321,632,station zero,false
118,1997-12-01T14:00:00Z,2279,4,6321,632,station zero,false
119,1997-12-01T15:00:00Z,1839,4,6321,632,station zero,false
120,1997-12-01T16:00:00Z,869,4,6321,632,station zero,false
121,1997-12-01T17:00:00Z,-391,4,6321,632,station zero,false
122,1997-12-01T18:00:00Z,-1651,4,6321,632,station zero,false
123,1997-12-01T19:00:00Z,-2391,4,6321,632,station zero,false
124,1997-12-01T20:00:00Z,-2551,4,6321,632,station zero,false
125,1997-12-01T21:00:00Z,-2021,4,6321,632,station zero,false
126,1997-12-01T22:00:00Z,-1131,4,6321,632,station zero,false
127,1997-12-01T23:00:00Z,119,4,6321,632,station zero,false
128,1997-12-02T00:00:00Z,1309,4,6321,632,station zero,false
129,1997-12-02T01:00:00Z,2309,4,6321,632,station zero,false
130,1997-12-02T02:00:00Z,2849,4,6321,632,station zero,false
131,1997-12-02T03:00:00Z,2709,4,6321,632,station zero,false
132,1997-12-02T04:00:00Z,1999,4,6321,632,station zero,false
133,1997-12-02T05:00:00Z,879,4,6321,632,station zero,false
134,1997-12-02T06:00:00Z,-301,4,6321,632,station zero,false
135,1997-12-02T07:00:00Z,-1221,4,6321,632,station zero,false
136,1997-12-02T08:00:00Z,-1651,4,6321,632,station zero,false
137,1997-12-02T09:00:00Z,-1461,4,6321,632,station zero,false
138,1997-12-02T10:00:00Z,-811,4,6321,632,station zero,false
139,1997-12-02T11:00:00Z,109,4,6321,632,station zero,false
140,1997-12-02T12:00:00Z,1119,4,6321,632,station zero,false
141,1997-12-02T13:00:00Z,1959,4,6321,632,station zero,false
142,1997-12-02T14:00:00Z,2279,4,6321,632,station zero,false
143,1997-12-02T15:00:00Z,2079,4,6321,632,station zero,false
144,1997-12-02T16:00:00Z,1349,4,6321,632,station zero,false
145,1997-12-02T17:00:00Z,159,4,6321,632,station zero,false
146,1997-12-02T18:00:00Z,-1061,4,6321,632,station zero,false
147,1997-12-02T19:00:00Z,-2161,4,6321,632,station zero,false
148,1997-12-02T20:00:00Z,-2851,4,6321,632,station zero,false
149,1997-12-02T21:00:00Z,-2731,4,6321,632,station zero,false
150,1997-12-02T22:00:00Z,-2051,4,6321,632,station zero,false
151,1997-12-02T23:00:00Z,-981,4,6321,632,station zero,false
152,1997-12-03T00:00:00Z,179,4,6321,632,station zero,false
153,1997-12-03T01:00:00Z,1379,4,6321,632,station zero,false
154,1997-12-03T02:00:00Z,2249,4,6321,632,station zero,false
155,1997-12-03T03:00:00Z,2479,4,6321,632,station zero,false
156,1997-12-03T04:00:00Z,2089,4,6321,632,station zero,false
157,1997-12-03T05:00:00Z,1129,4,6321,632,station zero,false
158,1997-12-03T06:00:00Z,39,4,6321,632,station zero,false
159,1997-12-03T07:00:00Z,-1001,4,6321,632,station zero,false
160,1997-12-03T08:00:00Z,-1781,4,6321,632,station zero,false
161,1997-12-03T09:00:00Z,-1871,4,6321,632,station zero,false
162,1997-12-03T10:00:00Z,-1491,4,6321,632,station zero,false
163,1997-12-03T11:00:00Z,-761,4,6321,632,station zero,false
164,1997-12-03T12:00:00Z,169,4,6321,632,station zero,false
165,1997-12-03T13:00:00Z,1059,4,6321,632,station zero,false
166,1997-12-03T14:00:00Z,1769,4,6321,632,station zero,false
167,1997-12-03T15:00:00Z,1989,4,6321,632,station zero,false
168,1997-12-03T16:00:00Z,1599,4,6321,632,station zero,false
169,1997-12-03T17:00:00Z,739,4,6321,632,station zero,false
170,1997-12-03T18:00:00Z,-411,4,6321,632,station zero,false
171,1997-12-03T19:00:00Z,-1611,4,6321,632,station zero,false
172,1997-12-03T20:00:00Z,-2461,4,6321,632,station zero,false
173,1997-12-03T21:00:00Z,-2851,4,6321,632,station zero,false
174,1997-12-03T22:00:00Z,-2531,4,6321,632,station zero,false
175,1997-12-03T23:00:00Z,-1841,4,6321,632,station zero,false
176,1997-12-04T00:00:00Z,-791,4,6321,632,station zero,false
177,1997-12-04T01:00:00Z,399,4,6321,632,station zero,false
178,1997-12-04T02:00:00Z,1469,4,6321,632,station zero,false
179,1997-12-04T03:00:00Z,2149,4,6321,632,station zero,false
180,1997-12-04T04:00:00Z,2299,4,6321,632,station zero,false
181,1997-12-04T05:00:00Z,1869,4,6321,632,station zero,false
182,1997-12-04T06:00:00Z,969,4,6321,632,station zero,false
183,1997-12-04T07:00:00Z,-151,4,6321,632,station zero,false
184,1997-12-04T08:00:00Z,-1171,4,6321,632,station zero,false
185,1997-12-04T09:00:00Z,-1811,4,6321,632,station zero,false
186,1997-12-04T10:00:00Z,-1821,4,6321,632,station zero,false
187,1997-12-04T11:00:00Z,-1291,4,6321,632,station zero,false
188,1997-12-04T12:00:00Z,-491,4,6321,632,station zero,false
189,1997-12-04T13:00:00Z,459,4,6321,632,station zero,false
190,1997-12-04T14:00:00Z,1239,4,6321,632,station zero,false
191,1997-12-04T15:00:00Z,1829,4,6321,632,station zero,false
192,1997-12-04T16:00:00Z,1919,4,6321,632,station zero,false
193,1997-12-04T17:00:00Z,1439,4,6321,632,station zero,false
194,1997-12-04T18:00:00Z,659,4,6321,632,station zero,false
195,1997-12-04T19:00:00Z,-421,4,6321,632,station zero,false
196,1997-12-04T20:00:00Z,-1611,4,6321,632,station zero,false
197,1997-12-04T21:00:00Z,-2361,4,6321,632,station zero,false
198,1997-12-04T22:00:00Z,-2721,4,6321,632,station zero,false
199,1997-12-04T23:00:00Z,-2151,4,6321,632,station zero,false
200,1997-12-05T00:00:00Z,-1311,4,6321,632,station zero,false
201,1997-12-05T01:00:00Z,-241,4,6321,632,station zero,false
202,1997-12-05T02:00:00Z,819,4,6321,632,station zero,false
203,1997-12-05T03:00:00Z,1729,4,6321,632,station zero,false
204,1997-12-05T04:00:00Z,2189,4,6321,632,station zero,false
205,1997-12-05T05:00:00Z,2169,4,6321,632,station zero,false
206,1997-12-05T06:00:00Z,1669,4,6321,632,station zero,false
207,1997-12-05T07:00:00Z,769,4,6321,632,station zero,false
208,1997-12-05T08:00:00Z,-251,4,6321,632,station zero,false
209,1997-12-05T09:00:00Z,-1251,4,6321,632,station zero,false
210,1997-12-05T10:00:00Z,-1761,4,6321,632,station zero,false
211,1997-12-05T11:00:00Z,-1611,4,6321,632,station zero,false
212,1997-12-05T12:00:00Z,-1061,4,6321,632,station zero,false
213,1997-12-05T13:00:00Z,-291,4,6321,632,station zero,false
214,1997-12-05T14:00:00Z,629,4,6321,632,station zero,false
215,1997-12-05T15:00:00Z,1239,4,6321,632,station zero,false
216,1997-12-05T16:00:00Z,1649,4,6321,632,station zero,false
217,1997-12-05T17:00:00Z,1539,4,6321,632,station zero,false
218,1997-12-05T18:00:00Z,1089,4,6321,632,station zero,false
219,1997-12-05T19:00:00Z,259,4,6321,632,station zero,false
220,1997-12-05T20:00:00Z,-751,4,6321,632,station zero,false
221,1997-12-05T21:00:00Z,-1731,4,6321,632,station zero,false
222,1997-12-05T22:00:00Z,-2311,4,6321,632,station zero,false
223,1997-12-05T23:00:00Z,-2431,4,6321,632,station zero,false
224,1997-12-06T00:00:00Z,-2021,4,6321,632,station zero,false
225,1997-12-06T01:00:00Z,-1311,4,6321,632,station zero,false
226,1997-12-06T02:00:00Z,-351,4,6321,632,station zero,false
227,1997-12-06T03:00:00Z,689,4,6321,632,station zero,false
228,1997-12-06T04:00:00Z,1479,4,6321,632,station zero,false
229,1997-12-06T05:00:00Z,1919,4,6321,632,station zero,false
230,1997-12-06T06:00:00Z,1859,4,6321,632,station zero,false
231,1997-12-06T07:00:00Z,1349,4,6321,632,station zero,false
232,1997-12-06T08:00:00Z,539,4,6321,632,station zero,false
233,1997-12-06T09:00:00Z,-371,4,6321,632,station zero,false
234,1997-12-06T10:00:00Z,-1241,4,6321,632,station zero,false
235,1997-12-06T11:00:00Z,-1681,4,6321,632,station zero,false
236,1997-12-06T12:00:00Z,-1611,4,6321,632,station zero,false
237,1997-12-06T13:00:00Z,-1141,4,6321,632,station zero,false
238,1997-12-06T14:00:00Z,-381,4,6321,632,station zero,false
239,1997-12-06T15:00:00Z,449,4,6321,632,station zero,false
240,1997-12-06T16:00:00Z,1109,4,6321,632,station zero,false
241,1997-12-06T17:00:00Z,1469,4,6321,632,station zero,false
242,1997-12-06T18:00:00Z,1489,4,6321,632,station zero,false
243,1997-12-06T19:00:00Z,1089,4,6321,632,station zero,false
244,1997-12-06T20:00:00Z,399,4,6321,632,station zero,false
245,1997-12-06T21:00:00Z,-521,4,6321,632,station zero,false
246,1997-12-06T22:00:00Z,-1381,4,6321,632,station zero,false
247,1997-12-06T23:00:00Z,-2041,4,6321,632,station zero,false
248,1997-12-07T00:00:00Z,-2121,4,6321,632,station zero,false
249,1997-12-07T01:00:00Z,-1671,4,6321,632,station zero,false
250,1997-12-07T02:00:00Z,-951,4,6321,632,station zero,false
251,1997-12-07T03:00:00Z,9,4,6321,632,station zero,false
252,1997-12-07T04:00:00Z,989,4,6321,632,station zero,false
253,1997-12-07T05:00:00Z,1659,4,6321,632,station zero,false
254,1997-12-07T06:00:00Z,1929,4,6321,632,station zero,false
255,1997-12-07T07:00:00Z,1939,4,6321,632,station zero,false
256,1997-12-07T08:00:00Z,1499,4,6321,632,station zero,false
257,1997-12-07T09:00:00Z,769,4,6321,632,station zero,false
258,1997-12-07T10:00:00Z,-61,4,6321,632,station zero,false
259,1997-12-07T11:00:00Z,-791,4,6321,632,station zero,false
260,1997-12-07T12:00:00Z,-1171,4,6321,632,station zero,false
261,1997-12-07T13:00:00Z,-1211,4,6321,632,station zero,false
262,1997-12-07T14:00:00Z,-911,4,6321,632,station zero,false
263,1997-12-07T15:00:00Z,-311,4,6321,632,station zero,false
264,1997-12-07T16:00:00Z,359,4,6321,632,station zero,false
265,1997-12-07T17:00:00Z,989,4,6321,632,station zero,false
266,1997-12-07T18:00:00Z,1339,4,6321,632,station zero,false
267,1997-12-07T19:00:00Z,1469,4,6321,632,station zero,false
268,1997-12-07T20:00:00Z,1239,4,6321,632,station zero,false
269,1997-12-07T21:00:00Z,659,4,6321,632,station zero,false
270,1997-12-07T22:00:00Z,-91,4,6321,632,station zero,false
271,1997-12-07T23:00:00Z,-901,4,6321,632,station zero,false
272,1997-12-08T00:00:00Z,-1451,4,6321,632,station zero,false
273,1997-12-08T01:00:00Z,-1561,4,6321,632,station zero,false
274,1997-12-08T02:00:00Z,-1301,4,6321,632,station zero,false
275,1997-12-08T03:00:00Z,-871,4,6321,632,station zero,false
276,1997-12-08T04:00:00Z,-121,4,6321,632,station zero,false
277,1997-12-08T05:00:00Z,729,4,6321,632,station zero,false
278,1997-12-08T06:00:00Z,1439,4,6321,632,station zero,false
279,1997-12-08T07:00:00Z,1909,4,6321,632,station zero,false
280,1997-12-08T08:00:00Z,1909,4,6321,632,station zero,false
281,1997-12-08T09:00:00Z,1499,4,6321,632,station zero,false
282,1997-12-08T10:00:00Z,799,4,6321,632,station zero,false
283,1997-12-08T11:00:00Z,-41,4,6321,632,station zero,false
284,1997-12-08T12:00:00Z,-821,4,6321,632,station zero,false
285,1997-12-08T13:00:00Z,-1261,4,6321,632,station zero,false
286,1997-12-08T14:00:00Z,-1491,4,6321,632,station zero,false
287,1997-12-08T15:00:00Z,-1301,4,6321,632,station zero,false
288,1997-12-08T16:00:00Z,-841,4,6321,632,station zero,false
289,1997-12-08T17:00:00Z,-101,4,6321,632,station zero,false
290,1997-12-08T18:00:00Z,699,4,6321,632,station zero,false
291,1997-12-08T19:00:00Z,1349,4,6321,632,station zero,false
292,1997-12-08T20:00:00Z,1609,4,6321,632,station zero,false
293,1997-12-08T21:00:00Z,1369,4,6321,632,station zero,false
294,1997-12-08T22:00:00Z,789,4,6321,632,station zero,false
295,1997-12-08T23:00:00Z,49,4,6321,632,station zero,false
296,1997-12-09T00:00:00Z,-751,4,6321,632,station zero,false
297,1997-12-09T01:00:00Z,-1291,4,6321,632,station zero,false
298,1997-12-09T02:00:00Z,-1631,4,6321,632,station zero,false
299,1997-12-09T03:00:00Z,-1511,4,6321,632,station zero,false
300,1997-12-09T04:00:00Z,-1051,4,6321,632,station zero,false
301,1997-12-09T05:00:00Z,-341,4,6321,632,station zero,false
302,1997-12-09T06:00:00Z,559,4,6321,632,station zero,false
303,1997-12-09T07:00:00Z,1349,4,6321,632,station zero,false
304,1997-12-09T08:00:00Z,1889,4,6321,632,station zero,false
305,1997-12-09T09:00:00Z,1959,4,6321,632,station zero,false
306,1997-12-09T10:00:00Z,1589,4,6321,632,station zero,false
307,1997-12-09T11:00:00Z,819,4,6321,632,station zero,false
308,1997-12-09T12:00:00Z,-151,4,6321,632,station zero,false
309,1997-12-09T13:00:00Z,-1021,4,6321,632,station zero,false
310,1997-12-09T14:00:00Z,-1701,4,6321,632,station zero,false
311,1997-12-09T15:00:00Z,-1922,4,6321,632,station zero,false
312,1997-12-09T16:00:00Z,-1721,4,6321,632,station zero,false
313,1997-12-09T17:00:00Z,-1161,4,6321,632,station zero,false
314,1997-12-09T18:00:00Z,-331,4,6321,632,station zero,false
315,1997-12-09T19:00:00Z,589,4,6321,632,station zero,false
316,1997-12-09T20:00:00Z,1339,4,6321,632,station zero,false
317,1997-12-09T21:00:00Z,1779,4,6321,632,station zero,false
318,1997-12-09T22:00:00Z,1779,4,6321,632,station zero,false
319,1997-12-09T23:00:00Z,1279,4,6321,632,station zero,false
320,1997-12-10T00:00:00Z,409,4,6321,632,station zero,false
321,1997-12-10T01:00:00Z,-451,4,6321,632,station zero,false
322,1997-12-10T02:00:00Z,-1231,4,6321,632,station zero,false
323,1997-12-10T03:00:00Z,-1651,4,6321,632,station zero,false
324,1997-12-10T04:00:00Z,-1591,4,6321,632,station zero,false
325,1997-12-10T05:00:00Z,-1121,4,6321,632,station zero,false
326,1997-12-10T06:00:00Z,-471,4,6321,632,station zero,false
327,1997-12-10T07:00:00Z,429,4,6321,632,station zero,false
328,1997-12-10T08:00:00Z,1319,4,6321,632,station zero,false
329,1997-12-10T09:00:00Z,1929,4,6321,632,station zero,false
330,1997-12-10T10:00:00Z,2079,4,6321,632,station zero,false
331,1997-12-10T11:00:00Z,1749,4,6321,632,station zero,false
332,1997-12-10T12:00:00Z,909,4,6321,632,station zero,false
333,1997-12-10T13:00:00Z,-191,4,6321,632,station zero,false
334,1997-12-10T14:00:00Z,-1271,4,6321,632,station zero,false
335,1997-12-10T15:00:00Z,-2111,4,6321,632,station zero,false
336,1997-12-10T16:00:00Z,-2541,4,6321,632,station zero,false
337,1997-12-10T17:00:00Z,-2231,4,6321,632,station zero,false
338,1997-12-10T18:00:00Z,-1591,4,6321,632,station zero,false
339,1997-12-10T19:00:00Z,-651,4,6321,632,station zero,false
340,1997-12-10T20:00:00Z,449,4,6321,632,station zero,false
341,1997-12-10T21:00:00Z,1309,4,6321,632,station zero,false
342,1997-12-10T22:00:00Z,1849,4,6321,632,station zero,false
343,1997-12-10T23:00:00Z,1829,4,6321,632,station zero,false
344,1997-12-11T00:00:00Z,1289,4,6321,632,station zero,false
345,1997-12-11T01:00:00Z,389,4,6321,632,station zero,false
346,1997-12-11T02:00:00Z,-651,4,6321,632,station zero,false
347,1997-12-11T03:00:00Z,-1541,4,6321,632,station zero,false
348,1997-12-11T04:00:00Z,-2011,4,6321,632,station zero,false
349,1997-12-11T05:00:00Z,-2011,4,6321,632,station zero,false
350,1997-12-11T06:00:00Z,-1621,4,6321,632,station zero,false
351,1997-12-11T07:00:00Z,-791,4,6321,632,station zero,false
352,1997-12-11T08:00:00Z,259,4,6321,632,station zero,false
353,1997-12-11T09:00:00Z,1259,4,6321,632,station zero,false
354,1997-12-11T10:00:00Z,1949,4,6321,632,station zero,false
355,1997-12-11T11:00:00Z,1979,4,6321,632,station zero,false
356,1997-12-11T12:00:00Z,1609,4,6321,632,station zero,false
357,1997-12-11T13:00:00Z,739,4,6321,632,station zero,false
358,1997-12-11T14:00:00Z,-421,4,6321,632,station zero,false
359,1997-12-11T15:00:00Z,-1651,4,6321,632,station zero,false
360,1997-12-11T16:00:00Z,-2421,4,6321,632,station zero,false
361,1997-12-11T17:00:00Z,-2761,4,6321,632,station zero,false
362,1997-12-11T18:00:00Z,-2451,4,6321,632,station zero,false
363,1997-12-11T19:00:00Z,-1631,4,6321,632,station zero,false
364,1997-12-11T20:00:00Z,-501,4,6321,632,station zero,false
365,1997-12-11T21:00:00Z,739,4,6321,632,station zero,false
366,1997-12-11T22:00:00Z,1729,4,6321,632,station zero,false
367,1997-12-11T23:00:00Z,2229,4,6321,632,station zero,false
368,1997-12-12T00:00:00Z,2109,4,6321,632,station zero,false
369,1997-12-12T01:00:00Z,1519,4,6321,632,station zero,false
370,1997-12-12T02:00:00Z,539,4,6321,632,station zero,false
371,1997-12-12T03:00:00Z,-631,4,6321,632,station zero,false
372,1997-12-12T04:00:00Z,-1621,4,6321,632,station zero,false
373,1997-12-12T05:00:00Z,-2151,4,6321,632,station zero,false
374,1997-12-12T06:00:00Z,-2061,4,6321,632,station zero,false
375,1997-12-12T07:00:00Z,-1521,4,6321,632,station zero,false
376,1997-12-12T08:00:00Z,-551,4,6321,632,station zero,false
377,1997-12-12T09:00:00Z,559,4,6321,632,station zero,false
378,1997-12-12T10:00:00Z,1449,4,6321,632,station zero,false
379,1997-12-12T11:00:00Z,1979,4,6321,632,station zero,false
380,1997-12-12T12:00:00Z,1989,4,6321,632,station zero,false
381,1997-12-12T13:00:00Z,1459,4,6321,632,station zero,false
382,1997-12-12T14:00:00Z,539,4,6321,632,station zero,false
383,1997-12-12T15:00:00Z,-731,4,6321,632,station zero,false
384,1997-12-12T16:00:00Z,-1951,4,6321,632,station zero,false
385,1997-12-12T17:00:00Z,-2941,4,6321,632,station zero,false
386,1997-12-12T18:00:00Z,-3141,4,6321,632,station zero,false
387,1997-12-12T19:00:00Z,-2701,4,6321,632,station zero,false
388,1997-12-12T20:00:00Z,-1691,4,6321,632,station zero,false
389,1997-12-12T21:00:00Z,-371,4,6321,632,station zero,false
390,1997-12-12T22:00:00Z,899,4,6321,632,station zero,false
391,1997-12-12T23:00:00Z,1919,4,6321,632,station zero,false
392,1997-12-13T00:00:00Z,2399,4,6321,632,station zero,false
393,1997-12-13T01:00:00Z,2219,4,6321,632,station zero,false
394,1997-12-13T02:00:00Z,1569,4,6321,632,station zero,false
395,1997-12-13T03:00:00Z,389,4,6321,632,station zero,false
396,1997-12-13T04:00:00Z,-791,4,6321,632,station zero,false
397,1997-12-13T05:00:00Z,-1621,4,6321,632,station zero,false
398,1997-12-13T06:00:00Z,-2231,4,6321,632,station zero,false
399,1997-12-13T07:00:00Z,-1981,4,6321,632,station zero,false
400,1997-12-13T08:00:00Z,-1241,4,6321,632,station zero,false
401,1997-12-13T09:00:00Z,-221,4,6321,632,station zero,false
402,1997-12-13T10:00:00Z,889,4,6321,632,station zero,false
403,1997-12-13T11:00:00Z,1769,4,6321,632,station zero,false
404,1997-12-13T12:00:00Z,2149,4,6321,632,station zero,false
405,1997-12-13T13:00:00Z,1999,4,6321,632,station zero,false
406,1997-12-13T14:00:00Z,1359,4,6321,632,station zero,false
407,1997-12-13T15:00:00Z,219,4,6321,632,station zero,false
408,1997-12-13T16:00:00Z,-1121,4,6321,632,station zero,false
409,1997-12-13T17:00:00Z,-2381,4,6321,632,station zero,false
410,1997-12-13T18:00:00Z,-3071,4,6321,632,station zero,false
411,1997-12-13T19:00:00Z,-3211,4,6321,632,station zero,false
412,1997-12-13T20:00:00Z,-2525,4,6321,632,station zero,false
413,1997-12-13T21:00:00Z,-1361,4,6321,632,station zero,false
414,1997-12-13T22:00:00Z,-61,4,6321,632,station zero,false
415,1997-12-13T23:00:00Z,1239,4,6321,632,station zero,false
416,1997-12-14T00:00:00Z,2179,4,6321,632,station zero,false
417,1997-12-14T01:00:00Z,2539,4,6321,632,station zero,false
